rank,player,id,team,age,pos,yards_before_catch,ybc_per_reception,yards_after_catch,before_catch_perc,yac_per_reception,depth_of_target,broken_tackles,broken_tackles_per_reception,drops,drop_perc,interceptions_on_targets,passer_rating,games,games_started,targets,receptions,catch_perc,yards,yards_per_reception,td_per_reception,td,firstdowns_per_reception,first_downs,long,yards_per_target,receptions_per_game,yards_per_game,fumbles,fum_per_reception
1,Stefon Diggs*+,DiggSt00,BUF,27,WR,1071,8.4,464,0.69771987,3.7,10.1,5,0.039370079,8,4.8,2,115.4,16,15,166,127,0.765,1535,12.1,0.062992126,8,0.57480315,73,55,9.2,7.9,95.9,0,0
5,Travis Kelce*+,KelcTr00,KAN,31,TE,829,7.9,587,0.585451977,5.6,8.5,10,0.095238095,2,1.4,3,119.8,15,15,145,105,0.724,1416,13.5,0.104761905,11,0.752380952,79,45,9.8,7,94.4,1,0.00952381
3,DeAndre Hopkins*,HopkDe00,ARI,28,WR,873,7.6,534,0.620469083,4.6,8.9,15,0.130434783,2,1.3,2,105.9,16,16,160,115,0.719,1407,12.2,0.052173913,6,0.652173913,75,60,8.8,7.2,87.9,3,0.026086957
15,Justin Jefferson *,JeffJu00,MIN,21,WR,947,10.8,453,0.676428571,5.1,11.4,9,0.102272727,2,1.6,4,112.7,16,14,125,88,0.704,1400,15.9,0.079545455,7,0.659090909,58,71,11.2,5.5,87.5,1,0.011363636
2,Davante Adams*+,AdamDa01,GNB,28,WR,777,6.8,597,0.565502183,5.2,8.9,2,0.017391304,1,0.7,3,136,14,14,149,115,0.772,1374,11.9,0.156521739,18,0.634782609,73,56,9.2,8.2,98.1,1,0.008695652
13,Calvin Ridley,RidlCa00,ATL,26,WR,1099,12.2,275,0.79985444,3.1,14.3,3,0.033333333,6,4.2,5,101,15,15,143,90,0.629,1374,15.3,0.1,9,0.722222222,65,63,9.6,6,91.6,1,0.011111111
20,D.K. Metcalf*,MetcDK00,SEA,23,WR,940,11.3,363,0.721412126,4.4,13.7,8,0.096385542,8,6.2,4,110.7,16,16,129,83,0.643,1303,15.7,0.120481928,10,0.759036145,63,62,10.1,5.2,81.4,1,0.012048193
17,Tyreek Hill*+,HillTy00,KAN,26,WR,842,9.7,434,0.659874608,5,12.9,8,0.091954023,5,3.7,1,129.1,15,15,135,87,0.644,1276,14.7,0.172413793,15,0.655172414,57,75,9.5,5.8,85.1,1,0.011494253
6,Allen Robinson,RobiAl02,CHI,27,WR,931,9.1,319,0.7448,3.1,9.6,5,0.049019608,3,2,5,92.3,16,16,151,102,0.675,1250,12.3,0.058823529,6,0.666666667,68,42,8.3,6.4,78.1,0,0
4,Darren Waller*,WallDa01,LVR,28,TE,624,5.8,572,0.52173913,5.3,7.8,7,0.065420561,4,2.8,3,110,16,15,145,107,0.738,1196,11.2,0.08411215,9,0.644859813,69,38,8.2,6.7,74.8,2,0.018691589
36,D.J. Moore,MoorD.00,CAR,23,WR,811,12.3,382,0.679798826,5.8,13.2,6,0.090909091,7,5.9,9,70.3,15,14,118,66,0.559,1193,18.1,0.060606061,4,0.803030303,53,74,10.1,4.4,79.5,0,0
22,Brandin Cooks,CookBr00,HOU,27,WR,800,9.9,350,0.695652174,4.3,11.8,3,0.037037037,2,1.7,4,101.9,15,15,119,81,0.681,1150,14.2,0.074074074,6,0.62962963,51,57,9.7,5.4,76.7,0,0
18,Terry McLaurin,McLaTe00,WAS,25,WR,640,7.4,478,0.572450805,5.5,9.7,9,0.103448276,3,2.2,3,91.6,15,15,134,87,0.649,1118,12.9,0.045977011,4,0.586206897,51,68,8.3,5.8,74.5,1,0.011494253
11,Amari Cooper,CoopAm00,DAL,26,WR,701,7.6,413,0.629263914,4.5,8.8,5,0.054347826,3,2.3,4,96.8,16,15,130,92,0.708,1114,12.1,0.054347826,5,0.586956522,54,69,8.6,5.8,69.6,0,0
10,Robby Anderson,AndeRo04,CAR,27,WR,599,6.3,497,0.546532847,5.2,9.7,3,0.031578947,6,4.4,2,95.1,16,16,136,95,0.699,1096,11.5,0.031578947,3,0.515789474,49,75,8.1,5.9,68.5,1,0.010526316
32,A.J. Brown*,BrowAJ00,TEN,23,WR,643,9.2,432,0.598139535,6.2,10.9,13,0.185714286,5,4.7,2,126.1,14,12,106,70,0.66,1075,15.4,0.157142857,11,0.785714286,55,73,10.1,5,76.8,2,0.028571429
8,Tyler Lockett,LockTy00,SEA,28,WR,727,7.3,327,0.689753321,3.3,9.7,2,0.02,8,6.1,1,120.6,16,16,132,100,0.758,1054,10.5,0.1,10,0.57,57,47,8,6.3,65.9,1,0.01
33,Mike Evans,EvanMi00,TAM,27,WR,741,10.6,265,0.736580517,3.8,12.1,2,0.028571429,4,3.7,2,126,16,16,109,70,0.642,1006,14.4,0.185714286,13,0.785714286,55,50,9.2,4.4,62.9,0,0
7,Keenan Allen *,AlleKe00,LAC,28,WR,555,5.6,437,0.559475806,4.4,7.2,2,0.02,3,2,5,90.9,14,13,147,100,0.68,992,9.9,0.08,8,0.61,61,28,6.7,7.1,70.9,3,0.03
38,Corey Davis,DaviCo03,TEN,25,WR,693,10.7,291,0.704268293,4.5,11.7,3,0.046153846,3,3.3,0,123.6,14,12,92,65,0.707,984,15.1,0.076923077,5,0.753846154,49,75,10.7,4.6,70.3,1,0.015384615
26,Marvin Jones,JoneMa02,DET,30,WR,782,10.3,196,0.799591002,2.6,12.7,5,0.065789474,6,5.2,4,104.2,16,16,115,76,0.661,978,12.9,0.118421053,9,0.684210526,52,43,8.5,4.8,61.1,0,0
12,Cooper Kupp,KuppCo00,LAR,27,WR,449,4.9,525,0.460985626,5.7,6,12,0.130434783,6,4.8,3,94.6,15,12,124,92,0.742,974,10.6,0.032608696,3,0.47826087,44,55,7.9,6.1,64.9,1,0.010869565
21,Cole Beasley,BeasCo00,BUF,31,wr,612,7.5,355,0.632885212,4.3,7.8,1,0.012195122,2,1.9,2,108.3,15,10,107,82,0.766,967,11.8,0.048780488,4,0.646341463,53,35,9,5.5,64.5,0,0
14,Robert Woods,WoodRo02,LAR,28,WR,442,4.9,494,0.472222222,5.5,6.7,2,0.022222222,4,3.1,5,89.8,16,16,129,90,0.698,936,10.4,0.066666667,6,0.488888889,44,56,7.3,5.6,58.5,2,0.022222222
27,CeeDee Lamb,LambCe00,DAL,21,WR,624,8.4,311,0.667379679,4.2,9.3,3,0.040540541,8,7.2,2,100.2,16,14,111,74,0.667,935,12.6,0.067567568,5,0.621621622,46,52,8.4,4.6,58.4,2,0.027027027
