fips,biden_count,trump_count,totalvotes,biden_perc,trump_perc,state,fipscode,county,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,votergap16,trump16,clinton16
31037,1025,2636,3717,0.275760022,0.709174065,Nebraska,31037,Colfax County,10332,43.916,9.183,48.517,2.6,50758,28.1,14.1,25.5,31.5,11.4,238.9,41.425,68.443,27.018
24019,6857,8764,15977,0.429179445,0.548538524,Maryland,24019,Dorchester County,32043,4.919,32.272,52.301,7.4,42279,17.6,19.3,30.3,35.7,320.2,158,15.983,56.563,40.58
51019,12176,35600,48669,0.250179786,0.731471779,Virginia,51019,Bedford County,67154,2.053,10.154,50.575,4.4,55507,11.8,26.3,24,33.1,8.9,293.2,49.412,72.484,23.072
45031,15220,16832,32417,0.46950674,0.519233735,South Carolina,45031,Darlington County,66445,2.081,43.465,52.807,7.4,35640,19.5,16.1,32.5,37.7,36.8,270.2,3.735,50.523,46.788
5135,1398,5938,7566,0.184773989,0.784826857,Arkansas,5135,Sharp County,17664,2.105,4.689,50.591,7.1,32101,18.5,10.6,31.4,37.3,28.6,330.4,54.278,74.593,20.315
55019,4524,10002,14898,0.303664921,0.671365284,Wisconsin,55019,Clark County,33426,4.43,2.569,49.499,4.4,45316,18.2,11.7,23.9,34.1,28.7,199.5,32.625,63.81,31.185
53057,38252,32762,73423,0.520981164,0.446208954,Washington,53057,Skagit County,119534,17.879,9.335,50.418,6.7,51395,11.8,24.5,17.9,26.4,67.5,232.3,-6.617,43.499,50.116
53003,4250,7319,11951,0.355618777,0.612417371,Washington,53003,Asotin County,21432,3.823,5.772,51.509,4.7,44055,11.3,18.5,21.9,33.4,34,262.2,26.786,58.984,32.197
8003,3759,3813,7808,0.481429303,0.488345287,Colorado,8003,Alamosa County,15424,45.823,12.318,49.818,5.2,38140,15.4,24.1,16.8,23,21.4,145,-1.986,43.947,45.933
26107,7375,13267,21049,0.350372939,0.630291225,Michigan,26107,Mecosta County,41775,2.166,6.933,49.876,5.9,41572,10.4,22.2,25.9,35,58,266.4,26.112,60.091,33.979
5085,6686,22884,30662,0.218054921,0.746330963,Arkansas,5085,Lonoke County,66677,4.173,9.822,50.625,4.3,54459,12.8,18.7,29.9,35.8,88.7,193.8,52.816,73.692,20.876
13207,4384,11060,15592,0.281169831,0.709338122,Georgia,13207,Monroe County,25425,2.254,26.241,49.681,5.6,53542,19.7,19.8,26.7,31.9,66.8,172.1,41.428,69.594,28.166
13257,2385,9368,11885,0.200673117,0.788220446,Georgia,13257,Stephens County,25700,3.197,15.235,51.755,6.5,36870,17.9,15.7,30.2,30.1,146.1,273.1,59.908,78.709,18.801
19045,10812,13410,24687,0.437963301,0.543200875,Iowa,19045,Clinton County,48934,3.065,6.115,50.85,4.9,48528,9.4,19.2,26.5,33.4,23.3,253.5,5.143,49.451,44.307
31171,45,377,427,0.105386417,0.882903981,Nebraska,31171,Thomas County,565,2.047,1.608,47.661,3,39537,6.4,24.2,26.8,32.8,9.1,280.2,81.137,88.889,7.752
10005,56682,71230,129352,0.438199641,0.550667945,Delaware,10005,Sussex County,192747,9.464,17.516,51.485,5,53316,14.7,21.9,25.5,31,210.6,265.9,21.999,59.167,37.168
47085,2017,6120,8236,0.244900437,0.743079165,Tennessee,47085,Humphreys County,18274,2.333,5.294,50.477,6.9,42837,15.3,13.6,32.2,35.6,42.1,287.5,41.476,69.029,27.553
29149,823,3847,4739,0.17366533,0.811774636,Missouri,29149,Oregon County,10291,1.561,4.793,50.808,6.3,29415,19.1,9.3,25.6,32.4,26.6,179.3,60.099,78.645,18.546
18009,1376,3841,5351,0.257148197,0.717809755,Indiana,18009,Blackford County,13051,1.618,2.838,50.732,6,39563,13.5,10.5,29.7,36,21.8,234.1,43.675,69.453,25.778
13249,462,1800,2275,0.203076923,0.791208791,Georgia,13249,Schley County,4325,4.315,23.026,52.709,6.6,39601,25.9,14.1,25.9,30.4,30,165.4,56.103,77.108,21.006
51033,7657,8336,16288,0.470100688,0.511787819,Virginia,51033,Caroline County,27870,4.512,32.928,50.884,5.1,56099,18.1,19.3,20.7,29.6,54.1,219.3,5.06,50.342,45.282
5121,1215,5355,6812,0.178361715,0.786112742,Arkansas,5121,Randolph County,17952,1.866,3.097,50.816,7.4,37761,18.4,14.4,39.4,35.3,27.6,297.9,48.338,70.68,22.342
